Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181
cell_01	(1, 36.422)	(2, 35.406)	(3, 35.642)	(4, 35.414)	(5, 35.52)	(6, 35.358)	(7, 35.498)	(8, 35.504)	(9, 35.498)	(10, 35.542)	(11, 35.658)	(12, 35.576)	(13, 35.49)	(14, 34.308)	(15, 34.342)	(16, 34.488)	(17, 34.486)	(18, 34.548)	(19, 34.476)	(20, 34.536)	(21, 34.51)	(22, 34.596)	(23, 34.556)	(24, 34.274)	(25, 34.602)	(26, 34.498)	(27, 33.568)	(28, 33.464)	(29, 33.512)	(30, 33.38)	(31, 33.502)	(32, 33.458)	(33, 33.504)	(34, 33.412)	(35, 33.604)	(36, 33.396)	(37, 33.35)	(38, 33.714)	(39, 32.626)	(40, 32.558)	(41, 32.586)	(42, 32.538)	(43, 32.574)	(44, 32.506)	(45, 32.538)	(46, 32.572)	(47, 32.466)	(48, 32.57)	(49, 32.634)	(50, 32.656)	(51, 32.416)	(52, 31.504)	(53, 31.58)	(54, 31.434)	(55, 31.486)	(56, 31.44)	(57, 31.366)	(58, 31.314)	(59, 31.304)	(60, 31.594)	(61, 31.496)	(62, 31.416)	(63, 31.374)	(64, 30.51)	(65, 30.452)	(66, 30.524)	(67, 30.502)	(68, 30.34)	(69, 30.544)	(70, 30.532)	(71, 30.294)	(72, 30.404)	(73, 30.356)	(74, 30.284)	(75, 30.49)	(76, 30.61)	(77, 29.562)	(78, 29.524)	(79, 29.54)	(80, 29.556)	(81, 29.572)	(82, 29.53)	(83, 29.376)	(84, 29.5)	(85, 29.64)	(86, 29.5)	(87, 29.8)	(88, 29.412)	(89, 28.528)	(90, 28.526)	(91, 28.726)	(92, 28.402)	(93, 28.234)	(94, 28.428)	(95, 28.424)	(96, 28.626)	(97, 28.422)	(98, 28.61)	(99, 28.562)	(100, 28.628)																																																																																		
cell_02	(1, 36.724)	(2, 35.464)	(3, 35.466)	(4, 35.64)	(5, 35.46)	(6, 35.628)	(7, 35.45)	(8, 35.438)	(9, 35.468)	(10, 35.656)	(11, 35.61)	(12, 35.466)	(13, 35.406)	(14, 34.4)	(15, 34.384)	(16, 34.392)	(17, 34.418)	(18, 34.322)	(19, 34.454)	(20, 34.448)	(21, 34.476)	(22, 34.558)	(23, 34.458)	(24, 34.634)	(25, 34.546)	(26, 34.438)	(27, 33.362)	(28, 33.384)	(29, 33.472)	(30, 33.328)	(31, 33.458)	(32, 33.504)	(33, 33.504)	(34, 33.42)	(35, 33.478)	(36, 33.344)	(37, 33.522)	(38, 33.554)	(39, 32.456)	(40, 32.538)	(41, 32.492)	(42, 32.688)	(43, 32.548)	(44, 32.672)	(45, 32.546)	(46, 32.496)	(47, 32.598)	(48, 32.492)	(49, 32.394)	(50, 32.45)	(51, 32.374)	(52, 31.5)	(53, 31.742)	(54, 31.552)	(55, 31.502)	(56, 31.578)	(57, 31.47)	(58, 31.55)	(59, 31.276)	(60, 31.548)	(61, 31.474)	(62, 31.478)	(63, 31.61)	(64, 30.66)	(65, 30.41)	(66, 30.332)	(67, 30.538)	(68, 30.402)	(69, 30.47)	(70, 30.578)	(71, 30.594)	(72, 30.524)	(73, 30.54)	(74, 30.544)	(75, 30.514)	(76, 30.244)	(77, 29.656)	(78, 29.658)	(79, 29.492)	(80, 29.586)	(81, 29.704)	(82, 29.42)	(83, 29.614)	(84, 29.61)	(85, 29.672)	(86, 29.632)	(87, 29.482)	(88, 29.464)	(89, 28.442)	(90, 28.258)	(91, 28.69)	(92, 28.554)	(93, 28.494)	(94, 28.522)	(95, 28.576)	(96, 28.5)	(97, 28.56)	(98, 28.362)	(99, 28.54)	(100, 28.378)																																																																																		
cell_03	(1, 36.528)	(2, 35.498)	(3, 35.554)	(4, 35.5)	(5, 35.518)	(6, 35.454)	(7, 35.532)	(8, 35.46)	(9, 35.516)	(10, 35.472)	(11, 35.568)	(12, 35.692)	(13, 35.582)	(14, 34.562)	(15, 34.476)	(16, 34.626)	(17, 34.454)	(18, 34.452)	(19, 34.374)	(20, 34.26)	(21, 34.376)	(22, 34.566)	(23, 34.53)	(24, 34.692)	(25, 34.452)	(26, 34.526)	(27, 33.522)	(28, 33.532)	(29, 33.55)	(30, 33.626)	(31, 33.488)	(32, 33.382)	(33, 33.302)	(34, 33.346)	(35, 33.352)	(36, 33.418)	(37, 33.692)	(38, 33.6)	(39, 32.474)	(40, 32.22)	(41, 32.536)	(42, 32.37)	(43, 32.138)	(44, 32.68)	(45, 32.496)	(46, 32.492)	(47, 32.65)	(48, 32.436)	(49, 32.184)	(50, 32.408)	(51, 32.27)	(52, 31.58)	(53, 31.504)	(54, 31.518)	(55, 31.424)	(56, 31.474)	(57, 31.288)	(58, 31.622)	(59, 31.492)	(60, 31.54)	(61, 31.444)	(62, 31.508)	(63, 31.424)	(64, 30.436)	(65, 30.516)	(66, 30.41)	(67, 30.476)	(68, 30.432)	(69, 30.502)	(70, 30.626)	(71, 30.506)	(72, 30.55)	(73, 30.396)	(74, 30.422)	(75, 30.434)	(76, 30.522)	(77, 29.626)	(78, 29.396)	(79, 29.482)	(80, 29.494)	(81, 29.596)	(82, 29.448)	(83, 29.556)	(84, 29.378)	(85, 29.302)	(86, 29.6)	(87, 29.546)	(88, 29.58)	(89, 28.366)	(90, 28.4)	(91, 28.512)	(92, 28.346)	(93, 28.598)	(94, 28.358)	(95, 28.49)	(96, 28.384)	(97, 28.616)	(98, 28.464)	(99, 28.472)	(100, 28.588)																																																																																		
cell_04	(1, 36.518)	(2, 35.546)	(3, 35.344)	(4, 35.324)	(5, 35.542)	(6, 35.302)	(7, 35.562)	(8, 35.616)	(9, 35.54)	(10, 35.538)	(11, 35.61)	(12, 35.476)	(13, 35.396)	(14, 34.522)	(15, 34.676)	(16, 34.596)	(17, 34.522)	(18, 34.408)	(19, 34.416)	(20, 34.428)	(21, 34.606)	(22, 34.348)	(23, 34.432)	(24, 34.458)	(25, 34.514)	(26, 34.314)	(27, 33.418)	(28, 33.428)	(29, 33.512)	(30, 33.508)	(31, 33.44)	(32, 33.554)	(33, 33.394)	(34, 33.436)	(35, 33.534)	(36, 33.46)	(37, 33.518)	(38, 33.682)	(39, 32.38)	(40, 32.768)	(41, 32.36)	(42, 32.552)	(43, 32.368)	(44, 32.386)	(45, 32.628)	(46, 32.524)	(47, 32.476)	(48, 32.472)	(49, 32.52)	(50, 32.476)	(51, 32.472)	(52, 31.336)	(53, 31.586)	(54, 31.292)	(55, 31.474)	(56, 31.442)	(57, 31.388)	(58, 31.522)	(59, 31.558)	(60, 31.31)	(61, 31.44)	(62, 31.604)	(63, 31.546)	(64, 30.506)	(65, 30.462)	(66, 30.65)	(67, 30.714)	(68, 30.654)	(69, 30.428)	(70, 30.414)	(71, 30.304)	(72, 30.67)	(73, 30.422)	(74, 30.536)	(75, 30.67)	(76, 30.528)	(77, 29.518)	(78, 29.498)	(79, 29.658)	(80, 29.54)	(81, 29.558)	(82, 29.556)	(83, 29.42)	(84, 29.544)	(85, 29.81)	(86, 29.598)	(87, 29.282)	(88, 29.402)	(89, 28.516)	(90, 28.578)	(91, 28.492)	(92, 28.552)	(93, 28.402)	(94, 28.584)	(95, 28.658)	(96, 28.364)	(97, 28.596)	(98, 28.556)	(99, 28.548)	(100, 28.486)																																																																																		
cell_05	(1, 36.622)	(2, 35.538)	(3, 35.556)	(4, 35.432)	(5, 35.522)	(6, 35.66)	(7, 35.506)	(8, 35.358)	(9, 35.596)	(10, 35.542)	(11, 35.494)	(12, 35.538)	(13, 35.516)	(14, 34.592)	(15, 34.242)	(16, 34.362)	(17, 34.714)	(18, 34.61)	(19, 34.552)	(20, 34.404)	(21, 34.732)	(22, 34.602)	(23, 34.348)	(24, 34.482)	(25, 34.582)	(26, 34.386)	(27, 33.492)	(28, 33.616)	(29, 33.35)	(30, 33.438)	(31, 33.488)	(32, 33.494)	(33, 33.374)	(34, 33.676)	(35, 33.444)	(36, 33.548)	(37, 33.414)	(38, 33.662)	(39, 32.57)	(40, 32.464)	(41, 32.586)	(42, 32.512)	(43, 32.344)	(44, 32.518)	(45, 32.564)	(46, 32.588)	(47, 32.64)	(48, 32.57)	(49, 32.47)	(50, 32.276)	(51, 32.42)	(52, 31.552)	(53, 31.498)	(54, 31.452)	(55, 31.506)	(56, 31.44)	(57, 31.474)	(58, 31.368)	(59, 31.488)	(60, 31.392)	(61, 31.316)	(62, 31.574)	(63, 31.63)	(64, 30.6)	(65, 30.424)	(66, 30.562)	(67, 30.59)	(68, 30.39)	(69, 30.388)	(70, 30.416)	(71, 30.536)	(72, 30.602)	(73, 30.634)	(74, 30.278)	(75, 30.442)	(76, 30.438)	(77, 29.44)	(78, 29.44)	(79, 29.426)	(80, 29.358)	(81, 29.326)	(82, 29.454)	(83, 29.44)	(84, 29.584)	(85, 29.708)	(86, 29.58)	(87, 29.632)	(88, 29.622)	(89, 28.448)	(90, 28.6)	(91, 28.568)	(92, 28.568)	(93, 28.454)	(94, 28.674)	(95, 28.588)	(96, 28.57)	(97, 28.296)	(98, 28.322)	(99, 28.328)	(100, 28.526)																																																																																		
cell_06	(1, 36.594)	(2, 35.726)	(3, 35.454)	(4, 35.484)	(5, 35.448)	(6, 35.312)	(7, 35.542)	(8, 35.508)	(9, 35.354)	(10, 35.566)	(11, 35.642)	(12, 35.586)	(13, 35.508)	(14, 34.534)	(15, 34.684)	(16, 34.38)	(17, 34.678)	(18, 34.458)	(19, 34.396)	(20, 34.434)	(21, 34.566)	(22, 34.554)	(23, 34.54)	(24, 34.516)	(25, 34.36)	(26, 34.384)	(27, 33.56)	(28, 33.656)	(29, 33.686)	(30, 33.698)	(31, 33.5)	(32, 33.708)	(33, 33.468)	(34, 33.588)	(35, 33.486)	(36, 33.52)	(37, 33.546)	(38, 33.386)	(39, 32.23)	(40, 32.414)	(41, 32.552)	(42, 32.438)	(43, 32.352)	(44, 32.464)	(45, 32.43)	(46, 32.398)	(47, 32.468)	(48, 32.534)	(49, 32.68)	(50, 32.474)	(51, 32.536)	(52, 31.514)	(53, 31.322)	(54, 31.37)	(55, 31.298)	(56, 31.45)	(57, 31.444)	(58, 31.61)	(59, 31.432)	(60, 31.682)	(61, 31.406)	(62, 31.51)	(63, 31.512)	(64, 30.578)	(65, 30.526)	(66, 30.374)	(67, 30.412)	(68, 30.562)	(69, 30.43)	(70, 30.386)	(71, 30.5)	(72, 30.384)	(73, 30.322)	(74, 30.442)	(75, 30.626)	(76, 30.354)	(77, 29.494)	(78, 29.512)	(79, 29.456)	(80, 29.528)	(81, 29.392)	(82, 29.432)	(83, 29.684)	(84, 29.35)	(85, 29.402)	(86, 29.58)	(87, 29.55)	(88, 29.578)	(89, 28.534)	(90, 28.444)	(91, 28.598)	(92, 28.558)	(93, 28.534)	(94, 28.588)	(95, 28.446)	(96, 28.636)	(97, 28.616)	(98, 28.7)	(99, 28.488)	(100, 28.39)																																																																																		
cell_07	(1, 36.516)	(2, 35.42)	(3, 35.502)	(4, 35.478)	(5, 35.414)	(6, 35.57)	(7, 35.46)	(8, 35.648)	(9, 35.636)	(10, 35.398)	(11, 35.634)	(12, 35.544)	(13, 35.488)	(14, 34.568)	(15, 34.432)	(16, 34.554)	(17, 34.51)	(18, 34.4)	(19, 34.632)	(20, 34.602)	(21, 34.334)	(22, 34.5)	(23, 34.306)	(24, 34.562)	(25, 34.388)	(26, 34.44)	(27, 33.342)	(28, 33.748)	(29, 33.54)	(30, 33.48)	(31, 33.434)	(32, 33.674)	(33, 33.5)	(34, 33.732)	(35, 33.432)	(36, 33.45)	(37, 33.326)	(38, 33.484)	(39, 32.584)	(40, 32.584)	(41, 32.544)	(42, 32.592)	(43, 32.47)	(44, 32.248)	(45, 32.584)	(46, 32.384)	(47, 32.486)	(48, 32.342)	(49, 32.346)	(50, 32.668)	(51, 32.592)	(52, 31.412)	(53, 31.532)	(54, 31.632)	(55, 31.302)	(56, 31.52)	(57, 31.312)	(58, 31.388)	(59, 31.424)	(60, 31.506)	(61, 31.43)	(62, 31.494)	(63, 31.458)	(64, 30.766)	(65, 30.482)	(66, 30.348)	(67, 30.534)	(68, 30.25)	(69, 30.428)	(70, 30.598)	(71, 30.296)	(72, 30.392)	(73, 30.382)	(74, 30.48)	(75, 30.582)	(76, 30.578)	(77, 29.62)	(78, 29.504)	(79, 29.576)	(80, 29.542)	(81, 29.564)	(82, 29.448)	(83, 29.652)	(84, 29.52)	(85, 29.356)	(86, 29.458)	(87, 29.462)	(88, 29.546)	(89, 28.364)	(90, 28.458)	(91, 28.39)	(92, 28.58)	(93, 28.498)	(94, 28.45)	(95, 28.4)	(96, 28.468)	(97, 28.432)	(98, 28.468)	(99, 28.304)	(100, 28.514)																																																																																		
cell_08	(1, 36.462)	(2, 35.568)	(3, 35.57)	(4, 35.372)	(5, 35.46)	(6, 35.53)	(7, 35.476)	(8, 35.454)	(9, 35.688)	(10, 35.43)	(11, 35.368)	(12, 35.576)	(13, 35.452)	(14, 34.556)	(15, 34.526)	(16, 34.506)	(17, 34.622)	(18, 34.396)	(19, 34.348)	(20, 34.498)	(21, 34.346)	(22, 34.506)	(23, 34.524)	(24, 34.482)	(25, 34.346)	(26, 34.404)	(27, 33.356)	(28, 33.498)	(29, 33.398)	(30, 33.464)	(31, 33.436)	(32, 33.306)	(33, 33.494)	(34, 33.658)	(35, 33.34)	(36, 33.596)	(37, 33.494)	(38, 33.384)	(39, 32.618)	(40, 32.406)	(41, 32.508)	(42, 32.522)	(43, 32.492)	(44, 32.706)	(45, 32.55)	(46, 32.522)	(47, 32.466)	(48, 32.462)	(49, 32.382)	(50, 32.428)	(51, 32.566)	(52, 31.536)	(53, 31.476)	(54, 31.522)	(55, 31.412)	(56, 31.534)	(57, 31.514)	(58, 31.344)	(59, 31.286)	(60, 31.57)	(61, 31.354)	(62, 31.288)	(63, 31.64)	(64, 30.524)	(65, 30.414)	(66, 30.342)	(67, 30.568)	(68, 30.552)	(69, 30.406)	(70, 30.63)	(71, 30.624)	(72, 30.51)	(73, 30.598)	(74, 30.46)	(75, 30.604)	(76, 30.448)	(77, 29.404)	(78, 29.518)	(79, 29.618)	(80, 29.53)	(81, 29.594)	(82, 29.382)	(83, 29.536)	(84, 29.572)	(85, 29.66)	(86, 29.488)	(87, 29.446)	(88, 29.626)	(89, 28.49)	(90, 28.588)	(91, 28.494)	(92, 28.492)	(93, 28.57)	(94, 28.574)	(95, 28.24)	(96, 28.4)	(97, 28.35)	(98, 28.464)	(99, 28.558)	(100, 28.394)																																																																																		
scRNA_sample_01	(1, 33.0789)	(2, 33.1903)	(3, 33.1266)	(4, 33.18)	(5, 33.1711)	(6, 33.1348)	(7, 33.1837)	(8, 33.1641)	(9, 33.108)	(10, 33.1644)	(11, 33.1803)	(12, 33.1476)	(13, 33.1667)	(14, 33.1689)	(15, 33.1207)	(16, 33.1612)	(17, 33.1657)	(18, 33.1253)	(19, 33.1159)	(20, 33.1324)	(21, 33.1214)	(22, 32.9308)	(23, 32.7301)	(24, 32.5016)	(25, 32.3025)	(26, 32.101)	(27, 31.8957)	(28, 31.7254)	(29, 31.4635)	(30, 31.2333)	(31, 31.0095)	(32, 30.8829)	(33, 30.6244)	(34, 30.4073)	(35, 30.1979)	(36, 29.9371)	(37, 29.7238)	(38, 29.5239)	(39, 29.3717)	(40, 29.1089)	(41, 28.8899)	(42, 28.6977)	(43, 28.4665)	(44, 28.2737)	(45, 27.9996)	(46, 27.8146)	(47, 27.5725)	(48, 27.3379)	(49, 27.1459)	(50, 27.0415)	(51, 26.7621)	(52, 26.5182)	(53, 26.2899)	(54, 26.0889)	(55, 25.9088)	(56, 25.6273)	(57, 25.4404)	(58, 25.2241)	(59, 24.9912)	(60, 24.7791)	(61, 24.5862)	(62, 24.3879)	(63, 24.1179)	(64, 23.9191)	(65, 23.7268)	(66, 23.4591)	(67, 23.2375)	(68, 23.0686)	(69, 22.8117)	(70, 22.6129)	(71, 22.4192)	(72, 22.1566)	(73, 21.9867)	(74, 21.8019)	(75, 21.579)	(76, 21.3639)	(77, 21.1397)	(78, 20.8737)	(79, 20.7302)	(80, 20.4557)	(81, 20.4124)	(82, 20.1182)	(83, 19.9411)	(84, 19.751)	(85, 19.5271)	(86, 19.2947)	(87, 19.0643)	(88, 18.8673)	(89, 18.6918)	(90, 18.4242)	(91, 18.2811)	(1, 33.0789)	(2, 33.1903)	(3, 33.1266)	(4, 33.18)	(5, 33.1711)	(6, 33.1348)	(7, 33.1837)	(8, 33.1641)	(9, 33.108)	(10, 33.1644)	(11, 33.1803)	(12, 33.1476)	(13, 33.1667)	(14, 33.1689)	(15, 33.1207)	(16, 33.1612)	(17, 33.1657)	(18, 33.1253)	(19, 33.1159)	(20, 33.1324)	(21, 33.1214)	(22, 32.9308)	(23, 32.7301)	(24, 32.5016)	(25, 32.3025)	(26, 32.101)	(27, 31.8957)	(28, 31.7254)	(29, 31.4635)	(30, 31.2333)	(31, 31.0095)	(32, 30.8829)	(33, 30.6244)	(34, 30.4073)	(35, 30.1979)	(36, 29.9371)	(37, 29.7238)	(38, 29.5239)	(39, 29.3717)	(40, 29.1089)	(41, 28.8899)	(42, 28.6977)	(43, 28.4665)	(44, 28.2737)	(45, 27.9996)	(46, 27.8146)	(47, 27.5725)	(48, 27.3379)	(49, 27.1459)	(50, 27.0415)	(51, 26.7621)	(52, 26.5182)	(53, 26.2899)	(54, 26.0889)	(55, 25.9088)	(56, 25.6273)	(57, 25.4404)	(58, 25.2241)	(59, 24.9912)	(60, 24.7791)	(61, 24.5862)	(62, 24.3879)	(63, 24.1179)	(64, 23.9191)	(65, 23.7268)	(66, 23.4591)	(67, 23.2375)	(68, 23.0686)	(69, 22.8117)	(70, 22.6129)	(71, 22.4192)	(72, 22.1566)	(73, 21.9867)	(74, 21.8019)	(75, 21.579)	(76, 21.3639)	(77, 21.1397)	(78, 20.8737)	(79, 20.7302)	(80, 20.4557)	(81, 20.4124)	(82, 20.1182)	(83, 19.9411)	(84, 19.751)	(85, 19.5271)	(86, 19.2947)	(87, 19.0643)	(88, 18.8673)	(89, 18.6918)	(90, 18.4242)	(91, 18.2811)
